#,Step,Category,Task,Details,Deadline,Reviewer Priority,To Do,Done,Compliance Flag
25,Step 2 - Google Business,Google,Set website to digitalpioneer.ai,,ASAP,HIGH,YES,,
26,Step 2 - Google Business,Google,Add photos to Google Business Profile,"Add Pioneers Gallery image + any cohort photos",ASAP,HIGH,YES,,
27,Step 2 - Google Business,Google,Add Google Business description (750 char),"Paste full description from the guide — mentions Library / Carver Museum / free / ACME Elevate",ASAP,HIGH,YES,,
28,Step 2 - Google Business,Google,Verify the Google Business Profile,"Google will send a postcard or call — complete verification so profile goes live",ASAP,CRITICAL,YES,,MUST BE VERIFIED — unverified profiles do not appear in search
29,Step 3 - Domains,Domains,digitalpioneergallery.com — check and confirm redirect,"VERIFIED: Owned. 301 redirect to digitalpioneer.ai confirmed live.",Done,,YES,DONE — redirects correctly to digitalpioneer.ai
30,Step 3 - Domains,Domains,Check if digitalpioneergallery.org is available,".org signals community program to grant reviewers — optional",ASAP,LOW,YES,,
31,Step 4 - Hashtags,All Platforms,Save and use primary hashtags on every post,"#DigitalPioneerGallery  #50TechBridge  #AustinArts",Ongoing,MED,YES,,
32,Step 4 - Hashtags,All Platforms,Rotate secondary hashtags on posts,"#ACMEElevate #CityOfAustin #AustinLibrary #Adults50Plus #DigitalArtAustin #CarverMuseum #ArtistsOfAustin #CreativeAging",Ongoing,LOW,YES,,
33,Deadline Checklist,Google,Google Business Profile live and verified,"Grant reviewers Google the program before reviewing — must be live",Aug 18 2026,CRITICAL,YES,,REVIEWER CHECKS THIS FIRST
34,Deadline Checklist,Instagram,Instagram bio updated with digitalpioneer.ai link,,Aug 18 2026,CRITICAL,YES,,REVIEWER CHECKS THIS
35,Deadline Checklist,Instagram,At least 6 Instagram posts tagged #DigitalPioneerGallery,,Aug 18 2026,CRITICAL,YES,,REVIEWER CHECKS THIS
36,Deadline Checklist,YouTube,At least 1 video on YouTube in the Digital Pioneer Gallery playlist,,Aug 18 2026,CRITICAL,YES,,REVIEWER CHECKS THIS
37,Deadline Checklist,Facebook,Facebook page updated with DPG description and at least 1 pinned post,,Aug 18 2026,CRITICAL,YES,,REVIEWER CHECKS THIS
38,Deadline Checklist,Website,digitalpioneer.ai live and working,"VERIFIED: Live. Mentions DPG, ACME Elevate, 50+TechBridge, Library, Carver Museum, apply form — all reviewer boxes checked.",Aug 18 2026,CRITICAL,,YES,DONE — fully compliant. Strong for reviewers.
39,Compliance Flag,learnmoretechnologies.com,ADD City of Austin ACME Elevate mention to LMT homepage,"Site is live but has NO mention of ACME Elevate or Austin grant. Reviewers who click through from grant app to LMT will not see the connection. Add 1 sentence: Funded by City of Austin ACME Elevate — to homepage or footer.",Before Aug 18,HIGH,YES,,FLAG — missing Austin/ACME Elevate context
40,Compliance Flag,brianmckinney.com,Investigate brianmckinney.com — returning 403 error,"Site is inaccessible (403 Forbidden). Either fix it, redirect it to digitalpioneer.ai, or confirm it is intentionally offline. If reviewers Google Brian McKinney they may hit this error.",Before Aug 18,MED,YES,,FLAG — 403 error / site unreachable
41,First 6 Posts,Instagram / Facebook,Post 1 — Program Announcement,"Image: Pioneers Gallery photo. Caption: Introduce the program — what it is, who it's for, how to apply. Link: digitalpioneer.ai",Before Aug 18,CRITICAL,YES,,
42,First 6 Posts,Instagram / Facebook,Post 2 — What is a Digital Pioneer?,"Image: Brian or cohort in session. Caption: Define the Digital Pioneer identity. Who are these artists. What makes them different.",Before Aug 18,CRITICAL,YES,,
43,First 6 Posts,Instagram / Facebook,Post 3 — Library Partner Highlight,"Image: Austin Public Library exterior or session photo. Caption: Tag @AustinPublicLibrary. Explain the partnership. Show in-person component is real.",Before Aug 18,CRITICAL,YES,,
44,First 6 Posts,Instagram / Facebook,Post 4 — Start Where You Are,"Image: Close-up of hands on tablet, sketchbook, or creative tool. Caption: Address the fear of starting. All disciplines welcome. No tech experience needed.",Before Aug 18,CRITICAL,YES,,
45,First 6 Posts,Instagram / Facebook,Post 5 — Gallery Walk Teaser,"Image: Carver Museum exterior or gallery wall. Caption: Where your work ends up. The destination. The public stage. The opening night.",Before Aug 18,CRITICAL,YES,,
46,First 6 Posts,Instagram / Facebook,Post 6 — Apply Now,"Image: Application form screenshot or program graphic. Caption: Applications open. Free. Link in bio. Deadline information.",Before Aug 18,CRITICAL,YES,,
47,URL Collection,All Platforms,Record Instagram URL,"instagram.com/[your handle] — add to grant app and MailerLite footer",ASAP,HIGH,YES,,
48,URL Collection,All Platforms,Record Facebook URL,"facebook.com/[your handle] — add to grant app and MailerLite footer",ASAP,HIGH,YES,,
49,URL Collection,All Platforms,Record YouTube URL,"youtube.com/@[your handle] — add to grant app and MailerLite footer",ASAP,HIGH,YES,,
50,URL Collection,All Platforms,Record LinkedIn URL,"linkedin.com/company/[your handle] — add to grant app and MailerLite footer",ASAP,MED,YES,,
51,URL Collection,All Platforms,Record X / Twitter URL,"x.com/[your handle] — add to grant app and MailerLite footer",ASAP,MED,YES,,
52,URL Collection,All Platforms,Record Google Business URL,"g.page/[your listing] — add to grant app and MailerLite footer",ASAP,HIGH,YES,,
53,URL Collection,All Platforms,Add all URLs to MailerLite email footer,,Before Aug 18,HIGH,YES,,
54,URL Collection,All Platforms,Add all URLs to Elevate grant application,,Before Aug 18,HIGH,YES,,
